,domain,grid_id,webview_height,webview_width,displays,clicks,landed_clicks,non_bounced_clicks,closing_events,avg_last_second_framerate,sov_short_ttc,sov_short_ttc_global,sov_short_ttc_score
0,ID_1815,333519,250.0,300.0,2832,11.0,6.0,3.0,7.0,60.578947368421055,0.002750275,0.04933426,-0.046583988
1,ID_979,333519,250.0,300.0,2169,1.0,1.0,1.0,,59.0,,,
2,ID_1413,333519,250.0,300.0,7077,16.0,2.0,0.0,5.0,31.33333333333333,0.34562698,0.1850438,0.2924265
3,ID_1408,333519,250.0,300.0,14106,22.0,17.0,2.0,,56.5,,,
4,ID_1196,333519,250.0,300.0,2688,1.0,1.0,1.0,,55.0,,,
5,ID_2588,333519,250.0,300.0,2157,2.0,0.0,0.0,1.0,42.5,0.12310606,0.04933426,0.0737718
6,ID_2169,333519,250.0,300.0,4619,1.0,1.0,0.0,,58.0,,,
7,ID_1280,333519,250.0,300.0,4424,7.0,3.0,1.0,10.0,51.142857142857146,0.027410435,0.04933426,-0.021923827
8,ID_385,333519,250.0,300.0,38553,9.0,8.0,5.0,3.0,53.0,0.010152284,0.053200476,-0.039181978
9,ID_1222,333519,250.0,300.0,17462,19.0,13.0,4.0,3.0,47.37931034482759,0.021028038,0.04933426,-0.028306223
10,ID_2874,333519,250.0,300.0,167628,197.0,173.0,78.0,7.0,65.14285714285714,0.017152658,0.04933426,-0.032181602
11,ID_2482,333519,250.0,300.0,18711,16.0,15.0,6.0,3.0,68.8,0.0037313432,0.04933426,-0.045602918
12,ID_273,333519,250.0,300.0,2287,1.0,1.0,1.0,,60.0,,,
13,ID_2475,333519,250.0,300.0,2229,2.0,1.0,0.0,,72.5,,,
14,ID_3075,333519,,,2796,,,,2.0,,,,
15,ID_3249,333519,,,3338,,,,,,,,
16,ID_3390,333519,,,3695,,,,,,,,
17,ID_1289,333519,,,2016,,,,,,0.020100502,0.04933426,-0.02923376
18,ID_3238,333519,,,7836,,,,,,,,
19,ID_3533,333519,,,2889,,,,,,,,
20,ID_1905,333519,250.0,300.0,2641,4.0,4.0,3.0,,73.0,,,
21,ID_3262,333519,250.0,300.0,56499,99.0,91.0,26.0,5.0,72.56060606060606,0.0011074197,0.04933426,-0.04822684
22,ID_2151,333519,250.0,300.0,3163,6.0,5.0,1.0,,56.125,0.011848342,0.04933426,-0.03748592
23,ID_127,333519,250.0,300.0,10527,1.0,1.0,1.0,,118.0,0.10817308,0.053200476,0.0549726
24,ID_2510,333519,250.0,300.0,10752,6.0,5.0,4.0,1.0,57.5,,,
25,ID_1515,333519,250.0,300.0,11500670,1768.0,1594.0,743.0,66.0,59.62367491166078,0.011013786,0.053200476,-0.038320474
