,domain,grid_id,webview_height,webview_width,displays,clicks,landed_clicks,non_bounced_clicks,closing_events,avg_last_second_framerate,sov_short_ttc,sov_short_ttc_global,sov_short_ttc_score,broken
0,ID_2660,333519,250.0,300.0,678184.0,47.0,37.0,13.0,10.0,66.85964912280701,0.027559055,0.04933426,-0.021775207,0.0
1,ID_409,333519,250.0,300.0,40392.0,24.0,9.0,2.0,26.0,70.28571428571429,0.26163417,0.04933426,0.2122999,1.0
2,ID_2498,333519,250.0,300.0,12977.0,19.0,17.0,7.0,,57.629629629629626,0.006153846,0.04933426,-0.043180417,0.0
3,ID_1717,333519,250.0,300.0,27244.0,97.0,81.0,38.0,7.0,59.72641509433962,0.0018382353,0.04933426,-0.047496025,0.0
4,ID_3091,333519,250.0,300.0,115671.0,19.0,18.0,4.0,2.0,70.0,0.020437956,0.04933426,-0.028896306,0.0
5,ID_580,333519,250.0,300.0,44659.0,21.0,8.0,5.0,4.0,59.47826086956522,,,,1.0
6,ID_2256,333519,250.0,300.0,85582.0,21.0,18.0,5.0,,64.80645161290323,0.040666666,0.04933426,-0.008667595,0.0
7,ID_1424,333519,250.0,300.0,12432.0,13.0,12.0,6.0,1.0,52.76923076923077,0.019786911,0.04933426,-0.02954735,0.0
8,ID_444,333519,250.0,300.0,63735.0,23.0,15.0,6.0,1.0,78.0,0.05749718,0.04933426,0.00816292,0.0
9,ID_1722,333519,250.0,300.0,5316.0,2.0,2.0,0.0,,72.5,0.012722646,0.04933426,-0.036611617,0.0
10,ID_3270,333519,250.0,300.0,23142.0,12.0,11.0,6.0,1.0,76.58333333333333,0.02578019,0.04933426,-0.023554072,0.0
11,ID_1653,333519,250.0,300.0,293513.0,137.0,107.0,69.0,19.0,72.74375,0.027684564,0.04933426,-0.021649698,0.0
12,ID_109,333519,250.0,300.0,8913.0,23.0,14.0,5.0,2.0,73.94736842105263,0.0054347827,0.04933426,-0.04389948,0.0
13,ID_544,333519,250.0,300.0,20870.0,14.0,12.0,2.0,64.0,55.4375,0.10854092,0.04933426,0.059206665,0.0
14,ID_2455,333519,250.0,300.0,11628.0,10.0,4.0,1.0,,57.083333333333336,0.04417178,0.04933426,-0.0051624826,0.0
15,ID_2831,333519,250.0,300.0,37128.0,15.0,7.0,3.0,7.0,25.214285714285715,0.07163657,0.04933426,0.022302315,0.0
16,ID_126,333519,250.0,300.0,1381348.0,498.0,417.0,157.0,155.0,56.07235621521336,0.078193836,0.053200476,0.02885957,0.0
17,ID_1983,333519,250.0,300.0,82504.0,40.0,34.0,19.0,4.0,57.9,0.014592934,0.04933426,-0.034741327,0.0
18,ID_3310,333519,250.0,300.0,9972.0,16.0,14.0,6.0,,63.583333333333336,0.020725388,0.04933426,-0.028608873,0.0
19,ID_669,333519,250.0,300.0,32982.0,20.0,11.0,6.0,1.0,61.25925925925926,0.0040513165,0.053200476,-0.045293856,0.0
20,ID_1056,333519,250.0,300.0,21477.0,66.0,57.0,21.0,4.0,59.62,0.035218783,0.04933426,-0.014115478,0.0
21,ID_943,333519,250.0,300.0,131391.0,46.0,42.0,18.0,2.0,78.03225806451613,,,,0.0
22,ID_1146,333519,250.0,300.0,168300.0,73.0,57.0,16.0,5.0,67.37373737373737,0.053949904,0.053200476,0.0041692657,0.0
23,ID_2029,333519,250.0,300.0,13087.0,19.0,17.0,4.0,8.0,68.43478260869566,0.014566642,0.04933426,-0.03476762,0.0
24,ID_2101,333519,250.0,300.0,30512.0,48.0,37.0,12.0,5.0,31.46551724137931,0.0020325202,0.04933426,-0.04730174,0.0
25,ID_2124,333519,250.0,300.0,232999.0,54.0,47.0,23.0,1.0,62.75714285714286,0.039382238,0.053200476,-0.009952022,0.0
26,ID_279,333519,250.0,300.0,68330.0,86.0,73.0,36.0,1.0,63.59803921568628,0.022020726,0.04933426,-0.027313536,0.0
27,ID_3557,333519,250.0,300.0,205349.0,70.0,59.0,29.0,9.0,72.21428571428571,0.06902429,0.053200476,0.019690026,0.0
28,ID_176,333519,250.0,300.0,35480.0,69.0,68.0,35.0,1.0,72.27058823529411,0.0028747434,0.04933426,-0.04645952,0.0
29,ID_1099,333519,250.0,300.0,19342.0,32.0,27.0,13.0,1.0,38.138888888888886,0.0132231405,0.04933426,-0.03611112,0.0
30,ID_2468,333519,250.0,300.0,17960.0,5.0,5.0,0.0,4.0,69.85714285714286,0.0053821313,0.04933426,-0.04395213,0.0
31,ID_3540,333519,250.0,300.0,2427.0,7.0,3.0,1.0,8.0,58.42857142857143,0.23046722,0.04933426,0.18113296,1.0
32,ID_1965,333519,250.0,300.0,49425.0,29.0,25.0,9.0,,70.75757575757575,0.025139665,0.053200476,-0.024194596,0.0
